 date , Breed ,colour,COAT LENGTH,pattern,eye_colour, vaccination_status ,microchipped?,age band?,indoor/Outdoor, favouriteToy ,temperament,food preference?,Litter Type/,Adoption Source,health issue,weight kg,age_months,LENGTH CM, height_cm ,daily calories,vet visits/,litterUsedKg,Play Sessions/Week, NAPS/DAY ,cost_£/month
"Nov 26, 2024",Maine Coon, BLACK ,LONG,tabby,blue,Not Required,YES, prime ,OUTDOOR,Laser Pointer,missing,wet,silica,stray,Obesity,4602,4677,£14591,"11,523",9884,missing,7950,14070,4249,£12701
"May 24, 2023",Persian,tortoiseshell,short,tabby,gold,up-to-date,yes,PRIME,both,laser_pointer,shy,wet,Silica,stray, Allergy ,    39,11917,," 6,858",12234,4868,10818,4704,9902,12466
"Apr 11, 2024",maine coon,Tortoiseshell,-999,Tabby,copper,unknown,yes,geriatric,outdoor,featherWand,Friendly,raw, silica ,stray,None,674,10552,7361,7570,1714,NA,£12774,10158,-999,£14673
2024-03-29,tabby,NaN,MEDIUM,SPOTTED,Copper,not_required,YES,prime,outdoor,Laser Pointer,shy,mixed,NaN,ONLINE,-999,missing,503,14042,,18479,10449,NaN,11149,7913,NA
"Jan 22, 2024",Siamese,brown,short,SPOTTED,-999,not required,yes,kitten,Outdoor,laserPointer,Friendly,wet,silica,-999,none," 1,260",16707,11377,-999,17166,8918,"11,051",5251,£12506," 1,147"
2021-12-09,sphynx,white,Medium,missing,copper,NOT REQUIRED,yes, Geriatric ,NaN,NA,LAZY,wet,RECYCLED PAPER,ONLINE,arthritis,14275,,2207,9238,2493,917,4881,11756,NA," 1,385"
22/01/2022,NA,White,medium,Tabby,gold,NOT REQUIRED,yes,geriatric,indoor,,Lazy,dry,silica,Breeder,NaN,-999,£11555,6858,5358,£19646,4562,£2233,15570,13269,£3587
2022-07-28,Ragdoll,grey,medium,spotted,COPPER,NaN,NO,geriatric,indoor,string,lazy,wet,non-Clumping,ONLINE,ALLERGY,378,7262,,£12253,£11361,18140,4941,8287,6034,75
2021-05-24,sphynx,white,Hairless,missing,gold,up-to-date,Yes,Kitten,both,ball,shy,raw,NaN,missing,-999,missing,11895,19900,£3371,4948,7932,,2891,17946,5327
NA,siamese,BROWN,hairless,Solid,ODD-EYED, up-to-date ,NaN,senior,indoor,String,aggressive,raw,silica,Breeder,allergy,1745,13561,-999,"16,307",12920,4050,10633,£15193,£2936,14414
25/11/2021,TABBY,white,medium,-999,blue,UNKNOWN,Yes,mature,outdoor,CATNIP MOUSE,aggressive,raw,missing,BREEDER,OBESITY,£270,£3503," 5,349",7429,£5825,13085,"18,172",£13430,13357,3379
10/04/2024,BRITISH SHORTHAIR,Black,missing,solid,Gold,Overdue,Yes,-999,INDOOR,Catnip Mouse, shy ,WET,clumping,Friend,-999,17247,15652,8588,4759,NaN,£17772,5876,missing,18433,1042
06/03/2023,MAINE COON,cream,Hairless,spotted,gold,notRequired,Yes,,BOTH,String, LAZY ,missing,recycled_paper,Breeder,arthritis,£3952,1170,"12,438","11,850",14515,£19119,£8306,"19,205"," 4,537",723
NA,ragdoll,grey,Medium,bi-Colour,BLUE,,Yes,junior,BOTH,feather wand,lazy,dry,CLUMPING,missing,NONE,6,13105,4278,1674,,17395,NA,11900,11457,£14356
27/07/2024,Maine Coon,cream,missing,bi-colour,copper,NA,yes,mature,outdoor,ball,lazy,dry,NON-CLUMPING,online,allergy,15502,   201,3738,596,11277,12181,7548,13935,7772,£2206
14/11/2021,Sphynx,Tortoiseshell,MEDIUM, pointed ,copper,overdue,no,KITTEN,Outdoor,, aggressive ,MIXED,recycledPaper,ONLINE,dental,9802,9687,£1798,7166," 8,941",£3098,£16345,£18779,9779,6316
"Jun 08, 2022",SPHYNX,orange,NA,missing,Odd-Eyed,UP-TO-DATE,no,mature,INDOOR,Feather Wand,Playful,raw,NON-CLUMPING, Breeder ,none,"15,758",1553,12213,-999," 2,033",18682,12188,1749,3253,3558
18/09/2021,ragdoll,CREAM,hairless,bi-colour,Blue,-999,NA,geriatric,NaN,LASER POINTER,PLAYFUL, DRY ,non-clumping,shelter,Obesity,7186,NaN,15162,6447,2664,12375,10868,"19,236",15205,£2337
missing,missing,Brown,Hairless,pointed,copper,up-to-date,no,kitten,OUTDOOR,string,SHY,DRY,recycled paper,missing,allergy,-999,£6712,13857,NA," 7,717",11937,6980,18621,19543,18339
2022-08-13,tabby,calico,long,pointed,ODD-EYED,overdue,No,kitten,both,-999,Aggressive,DRY,Silica,,arthritis,708,16893,"19,206",7237,£1920,"10,387",NaN,£7663,NA,17273
19/09/2021,tabby,white,short,Pointed, odd-eyed ,Unknown,yes, Junior ,both,LASER POINTER,aggressive,mixed,Clumping, friend ,-999,,17307,£7655,6536,18037,1960,13716,missing,,£14499
2022-08-08,bengal,Grey,SHORT, solid ,green,overdue,no,junior, indoor ,feather wand,friendly,wet,non-clumping,Shelter, ALLERGY ,,13845,£17,7941,-999,£10778,NaN,9410,NA,£997
2024-10-13,ragdoll,,Short,bi-colour,blue, not required ,NO,NaN,both,String,shy,mixed,Silica,shelter,dental,19992,12732,NA,3402,3817,17855,3765,missing,£15806,18045
21/04/2021,MAINE COON,ORANGE,LONG,missing,green,NaN,yes,,Both,Laser Pointer,aggressive,Raw,RECYCLED PAPER,breeder,none,8456,£11254,19554," 3,802",-999,2892,,5097,1470,14452
18/02/2023,ragdoll,,hairless,spotted,GREEN,overdue,yes,junior,both,NA,Shy,dry,missing,shelter,arthritis,"19,189",£7254,-999,5117,£1790,£2312,15330,16893," 5,173",7724
2023-01-23,bengal,Brown,NaN,SPOTTED,odd-Eyed, overdue , yes ,Junior,Both,catnip mouse,SHY,wet,NON-CLUMPING,online,arthritis,3802,NA,£1737,7166,£13533," 4,234"," 9,120",3409,"12,491",missing
29/08/2023,britishShorthair, Brown ,short,TABBY,gold,unknown,no,Kitten,indoor,STRING,LAZY,DRY,silica,Shelter,ALLERGY,11314,7488,1373,£18942,16541,10251,-999,£477,18229," 8,306"
08/07/2024,-999, brown ,long, TABBY ,odd-eyed,up-to-date,yes,SENIOR,both,CATNIP MOUSE,-999,-999,Silica,breeder,dental,£4713,13121,missing,17696,£12285,7805,8468,19821,£2852,3754
2024-06-15,SPHYNX,ORANGE,Short,spotted,Green,UP-TO-DATE,Yes,mature,missing,String,Aggressive,raw,NON-CLUMPING,Online, Allergy ,   928,£16435,   606,14475,missing,£16994,8190," 7,514",4369,   815
29/07/2023,tabby,cream,medium,solid,GREEN,Overdue,no,,Indoor,FEATHER WAND,NA,DRY, Clumping ,,arthritis,1571,,"14,320",19053,-999,661,£10587,251,"11,477",17734
15/08/2021,sphynx,missing,,SPOTTED,ODD-EYED,Overdue,no,senior,outdoor,STRING,SHY,dry,-999,breeder,dental,225," 1,496",£15451,13880,15410,10367,10271,NA,13084,4673
2024-10-10,siamese,calico,-999,BI-COLOUR,NaN,OVERDUE,no,kitten,both,CATNIP MOUSE,Shy,MIXED,Non-Clumping,-999,arthritis,7478,9240,4529,8526,17431,70," 8,289",£6267,"15,021",11272
2024-11-29,Bengal,GREY, Short ,pointed,Gold,NaN,no,KITTEN,both,FEATHER WAND,NaN,MIXED,silica,FRIEND,allergy,NaN,13649,£5169,14693,£8276,£9265,14414,£4225,6605,5354
missing,NaN,ORANGE,-999,solid,NA,unknown,YES,senior,both,laserPointer,lazy,raw, Recycled Paper ,friend,-999,9477,2441," 1,442",15544,£16052,13513,"15,378",15676,£9595,12146
"Jan 23, 2021",british_shorthair, grey ,SHORT,SPOTTED,odd-eyed,,no,junior,NaN,featherWand,Friendly, raw ,NaN,online,none,7319,5062,3188,10431,12208,"14,844",14113,"14,828",990,11770
21/01/2024,Tabby,calico,short,SPOTTED,green,notRequired,yes,junior,BOTH,, shy ,wet,clumping,Shelter,allergy,5772,12719,,11396,£3310,NaN,NA,18954,NA,15363
01/06/2022,BENGAL,cream,SHORT,Pointed,BLUE,not_required,yes,Mature,both,ball,shy,Raw,silica,online,dental,8831,£9576,NA,£14750,1283,1450,4410,-999,16728,17683
14/04/2022,ragdoll,BLACK,Long,solid,gold,unknown,NO,JUNIOR,,String,NA,NA,recycled paper,shelter,Dental,17448,3957,7942,missing,871,7373,12807,10758,"12,525",£9766
08/02/2021, bengal ,Calico,long,bi-Colour,Odd-Eyed,Overdue,no,junior,indoor,Catnip Mouse,Shy,mixed,silica,NA,allergy,19564,"15,343",14366,£3032,12442,10339,6658,15141,£3250,4601
"Jul 23, 2021",bengal,Black,HAIRLESS,solid,copper,Up-To-Date,yes,junior,outdoor,-999,,raw,clumping,Online,dental,2812,7693,,7577,4379,17149,6926,6758,11271,"15,929"
28/02/2024,Bengal,calico,MEDIUM,NaN,blue,not_required,YES,GERIATRIC,INDOOR,catnipMouse,,Dry,non-clumping,shelter,arthritis,18681,6554,£5854,,15250,2684,"12,247",6547,8944,
NaN,SPHYNX,cream,MEDIUM,TABBY,blue,up-To-Date,Yes,Kitten,both,ball,,mixed,non-Clumping,,obesity,NaN,14905,NA,,-999,£13468,£8169,9837,4365,5655
04/12/2021, bengal ,brown,long,tabby,blue,Not Required,-999,PRIME,indoor,string,aggressive,WET,silica,Shelter,none,7408,"17,434",12093,£3967,15042,17962,11044,missing,£4108,"19,964"
missing,bengal,NA,Medium,tabby,gold,unknown,-999,geriatric,both,catnip_mouse,LAZY,wet,,SHELTER,none,£1983,3346,"15,093",19884,"12,898",,NA,9833,9772,17737
-999,missing,white,HAIRLESS,tabby,GOLD,unknown,No,geriatric,both,catnip mouse,playful,Mixed,SILICA,shelter,allergy,5958,5558,15973,17035,18087,6504,"10,596",6448,6691,-999
07/10/2022,bengal,Tortoiseshell,long,Pointed,copper,UNKNOWN,no,senior,BOTH,Catnip Mouse,Playful,mixed,,ONLINE,dental,16983,£6314,16276,8139,£7324,3591,1949,7975,14469,12130
2021-07-15,maine coon,calico,long,solid,Copper,NOT REQUIRED,no,JUNIOR,outdoor,Feather Wand, Lazy ,MIXED,silica, Breeder ,arthritis,NA,18419,£741,"18,084",£7526,,£3012," 8,101",£8306,10416
"Oct 14, 2023",-999,grey,hairless,solid,blue,OVERDUE,,senior,OUTDOOR,ball,friendly, mixed ,non-Clumping,FRIEND,none,£6620,16747,NaN,"14,793",4437,14259,£17970,7330,£19160,1594
"Feb 17, 2021",Siamese,tortoiseshell,Medium,Pointed,gold,overdue,Yes,KITTEN,Both,NaN,NaN,Wet,silica,stray,Dental,14412,12050,missing,7953,8209,,£13289,NaN,£7449,£9240
17/11/2022,tabby,BROWN,hairless,solid,COPPER,Unknown,NO,kitten,indoor,Feather Wand,Friendly,wet,clumping, online ,Obesity,10225," 5,154",£13808,17918,9732,13500," 4,338",-999,15231,NaN
"Dec 06, 2022",ragdoll,calico,medium,BI-COLOUR,blue,overdue,no, prime , indoor ,string,playful,wet,recycled_paper,-999,obesity,376,7473,"12,830",9306,14002,14147,£827,£16703,"14,527",10695
30/08/2023,Ragdoll,calico,Medium,POINTED, copper ,unknown,NA,mature,OUTDOOR,ball,playful,Dry,recycled paper,friend,obesity,725,17177,£15883,£6958,1408,4046,15330,1689,8326,10673
2023-11-02,siamese,Orange,Short, Pointed ,odd-eyed,UP-TO-DATE,No, geriatric ,both, featherWand ,SHY,raw,recycledPaper, stray ,Arthritis,7306," 5,748",,8820,£12845,£4448,11823,£17251,6621,12276
2024-09-27,siamese,ORANGE,long,SOLID,Odd-Eyed,notRequired,, Kitten ,Outdoor,ball,aggressive, Mixed ,Clumping,shelter,dental,15959,£19578,£10485,445,missing,£16407,£2106,£2417,7814,16143
2021-03-18,-999,BROWN,HAIRLESS,Bi-Colour,odd-eyed,up-To-Date,,GERIATRIC,indoor,Catnip Mouse,aggressive,Raw,Recycled Paper,Shelter,arthritis,11661,15946,13068,1402,10168,10247,"10,287",11853,12709,£7944
2024-01-31,TABBY, white ,long,tabby,green,overdue,NaN,Kitten,both,string, PLAYFUL ,RAW,NA,Online,ALLERGY,11550,NA,5713," 8,899",,£10754,£17237,19684,£6703,1140
NA,Ragdoll,Orange,LONG,TABBY,blue, UP-TO-DATE ,Yes,KITTEN,Both,Catnip Mouse,Friendly,wet,Recycled Paper,shelter,none,£3700,NA,4266,£18984,13220,,14031,"11,428",£16792,13287
15/07/2023,sphynx,brown, MEDIUM ,-999, GOLD ,overdue,Yes,NA,Outdoor,Ball,friendly, dry ,NaN,Breeder,obesity,19814,£11035," 5,623","17,801",11334,NaN,16008,463,7117,10866
11/12/2022,ragdoll,orange,Short,pointed,, up-to-date ,yes,Senior,outdoor,ball,LAZY,raw,missing,online, ALLERGY ,18203,"16,445",5297,"15,529",£13642,£10857,,1292,13448,16076
29/11/2021,maine_coon,BLACK,short,solid,odd-eyed,NaN,no,junior,Indoor, catnip mouse ,NaN,Raw,missing,stray,allergy,£15401,£5926,6264,1284,£13516,missing,6628,1624,missing,£6819
30/12/2023,BENGAL,calico,-999,spotted,copper,Not Required, no ,junior,both,Ball,PLAYFUL,WET,recycledPaper,friend,NONE," 3,702",193,4929,16241,,9688,18623,£5481,missing,NaN
,Maine Coon,,medium,bi-Colour,gold, overdue ,yes,junior,both,ball,SHY,wet,NON-CLUMPING,stray,dental,19354,14927,16103,15797," 3,995",2118,123,"14,178",6122,15850
02/02/2023,maine_coon,calico,medium,Solid,Copper,overdue,-999,GERIATRIC, indoor ,Laser Pointer, FRIENDLY ,dry,Non-Clumping,shelter,Obesity,NA,16937,7638,-999,£9298,3794,,5196,£17133,6198
2021-06-19,siamese,Tortoiseshell, Medium ,spotted,green,-999,no, prime ,INDOOR,NaN,NA,Mixed,clumping,breeder,missing,15287,£6395,8951,£17095,£6552,975,   927,697,7568,NaN
-999,BENGAL,white,HAIRLESS,Bi-Colour,gold, not required ,missing, GERIATRIC ,both,BALL,NaN,raw,non-clumping,stray,obesity,NaN,NA,17579," 3,939",12600,13651,£10242,£16842,9476,2048
2022-10-29,NaN, Orange ,long,Pointed,Odd-Eyed,Not Required,no,SENIOR,INDOOR,catnip mouse,,raw,recycled paper, stray , Arthritis ," 9,084",14240,NA,968,4939,NaN,£6342,6260,14358,£19081
2024-12-25,bengal,TORTOISESHELL,Long,BI-COLOUR,ODD-EYED,NOT REQUIRED,NaN,,NaN,,SHY,mixed,recycledPaper,SHELTER,allergy,13127,18561,9001,NA,16219,"11,135"," 2,755",17143,8626,4299
,TABBY,BLACK,,tabby,odd-Eyed,up-to-date,Yes,Junior,indoor,ball,aggressive,dry,clumping,online,,13847,11030,1148,8436,19031,5662,9117,missing,12438,"12,069"
2024-10-08,MAINE COON,Cream,long,missing,Blue,overdue,no,kitten,INDOOR,laser_pointer,AGGRESSIVE,DRY,RECYCLED PAPER, friend ,obesity,18091,4479,£15845,15008," 3,366",8320,6488,19582,3986,£10573
2021-03-22,ragdoll,Calico,long,SOLID,ODD-EYED, Not Required ,no,prime,Indoor,string,FRIENDLY,missing,,online,missing,618,5107,11533,£8874,9435,2185,12693,"15,960",16626,5895
2024-10-20,BENGAL,grey,,-999,,up-to-date,no,senior,indoor,Ball,playful,Raw,Clumping,STRAY,None,   122,18108,-999,-999,16989,missing," 7,504"," 7,071",£5713,£13877
09/12/2023,NA,Orange,short,Solid,Gold,up-to-date,YES,mature,both,string,Lazy,dry,non-clumping,FRIEND,Allergy,3931,452,£5944,"13,199",1837,19718,6889,11695,8026,"12,605"
2024-12-02,bengal,calico, Short ,Tabby,copper,Not Required, yes ,PRIME,both,Feather Wand,friendly, raw ,clumping,stray, dental ,10849,£17587,10944,£11704,£9686,9838,," 6,243",11665,£4787
02/04/2024, maineCoon ,orange,SHORT,Solid,odd-eyed,-999, no ,NA,Indoor,featherWand,LAZY,mixed,-999,Friend,arthritis,10682,£5046,9928,   707,1075,NA,,"19,850",9317,12667
2023-08-18,Bengal, tortoiseshell ,HAIRLESS,spotted,gold,-999,YES,prime,indoor,feather_wand,Lazy,raw,Recycled Paper,NaN,ALLERGY,9086,7114,17764,4245,15903,10238,18382,2264,6270,13052
2021-09-17,sphynx,black, short ,Tabby,copper,unknown,YES, senior ,indoor,NaN,LAZY,mixed,non-Clumping,BREEDER,Dental," 5,307",7946,13224,NA,8344,8305,5870,8216,NA,NA
22/02/2021,SIAMESE,grey,short,SOLID,copper,NOT REQUIRED,NO, Prime ,Both,laser_pointer,playful,,CLUMPING,online, arthritis ,5049,9394,9024,497,"14,141",1018,NaN,16469,NaN,NaN
14/09/2023,Bengal,CALICO,Short,solid,blue,notRequired,Yes,junior,-999,ball,aggressive,raw,clumping, friend ,Obesity,£4407,14682,10952,£15583,NaN,14480,17166,7640,"19,043",NaN
10/05/2023,tabby,GREY,long,solid,odd-eyed,overdue,yes,senior,outdoor,ball,friendly,RAW,NON-CLUMPING,stray,None,3946,19789,15443,18688,11461,14577,"13,300",missing,4735,2730
08/08/2022,bengal,Calico, hairless ,TABBY, copper , Not Required ,yes,prime,both,feather_wand,friendly,Dry, SILICA , Friend ,arthritis,9931,"15,623",12262,,13871,"17,110",10003,13935,£4022,£15110
27/07/2021,SPHYNX,cream,Short,spotted,gold,,Yes,kitten,Both,catnip mouse,shy,DRY,Clumping,breeder, Dental ,5903,4696,10252,3926,9449,14697,missing,14382,£14208,19768
2022-07-29,ragdoll,white,short,tabby,green,NOT REQUIRED,yes,prime, indoor ,laserPointer,Aggressive,raw,silica,Online,Allergy,"19,251",15448,9022,9008,7517,-999,NA,£2465,8350,missing
2023-09-11,BENGAL,calico,hairless,missing,Odd-Eyed,UP-TO-DATE,Yes,NaN,OUTDOOR,feather_wand,aggressive,mixed,NA,friend,arthritis,,£1296,missing,2128,1206,£11184,3958,missing,£15455,790
06/09/2022,NA,black,medium,solid,-999, Not Required , yes ,MATURE,Outdoor, BALL ,SHY,RAW,-999,breeder,Arthritis,12416,11626,5121,11603,-999,£17223,14439,12781,18887,11829
2022-01-10,Siamese,TORTOISESHELL,NaN,spotted,blue,UNKNOWN,YES,GERIATRIC, both ,catnip_mouse,PLAYFUL, Dry ,clumping, ONLINE ,none,£2112,£16606,9168,17641,£16606,11461,18806,7680,4012,16618
06/03/2024,tabby,GREY,Short,tabby, copper ,unknown,no, Junior ,OUTDOOR,ball,aggressive,raw,silica,breeder,dental," 9,080",13642," 3,887",5871,£8251,1314,£10922,7242,285,18759
03/02/2022,maine coon,,long, spotted ,NA, overdue ,No,GERIATRIC,both,Feather Wand,lazy,Raw,silica, online ,,18629,5957,£11108,14511,"19,942",10253,"16,663",£4135,£10513,£7853
2024-07-03,ragdoll,cream,hairless,SOLID,-999,OVERDUE,NO,KITTEN,indoor,string,shy,Dry,Clumping,Stray,dental,16072,£2655,17839,,10189,16185,12657,,NA,16277
"Nov 24, 2022",missing,brown,medium,pointed,green,up-to-date,yes,mature,Outdoor,ball, aggressive ,WET,non-Clumping,online, Obesity ,£11978,£17825,,11629,£16985,9496,-999,16284,11754,£17665
2021-01-30,ragdoll,ORANGE, medium ,pointed,green,overdue,NaN,senior,indoor,String,playful,MIXED,Silica,ONLINE,dental,£14132," 4,804",3770,"18,335",£2256,6147,£12240,£10112,£16589,"15,733"
22/02/2021,Bengal, grey ,SHORT,BI-COLOUR,NA,up-To-Date,no,SENIOR,outdoor,CATNIP MOUSE,friendly,mixed,missing,friend,none,NA,7541,16156,4848,1006,4127,8846,17539,11200,18943
05/04/2023,British Shorthair,calico,short,solid,Blue,up-To-Date,NO,kitten,outdoor,-999,friendly,mixed,SILICA,Shelter,none,14605,6491,1009," 1,429",£17356,NaN,14157,10284,994,"17,243"
2024-12-05,NaN,missing,NaN, pointed ,blue,UP-TO-DATE,No,PRIME,INDOOR,NaN,aggressive,mixed,,NaN,NA,£4527,3411,£11043,6951,15486,£4644,£9919,13086,£14015,"15,367"
21/12/2023,SIAMESE,cream,long,tabby,GREEN,OVERDUE,no,Junior,indoor,string,Shy,NaN,,-999,dental,7265,2238,missing,missing,£6565,missing,19730,17852,£5987,2020
2022-01-06,british shorthair,Brown, hairless ,bi-Colour, BLUE ,unknown,yes,junior,indoor,laserPointer,shy,RAW, RECYCLED PAPER ,stray,Obesity,,11980,11296,1939,£1378,17997,16592,,missing,14992
2023-03-30,british_shorthair,missing,hairless,tabby,gold,NaN,no,Junior,outdoor,catnip mouse,SHY,mixed,recycledPaper,SHELTER,NaN,13291,£14352,£2229,-999," 7,188",NA," 6,404",11998,9329,£10199
,NA,tortoiseshell, Medium ,bi-colour,blue,up-To-Date,yes, JUNIOR ,indoor,NA,playful,mixed,RECYCLED PAPER,shelter,ARTHRITIS,4853,NA,8850,4772,4588,4406,15052,11259,"17,106","14,951"
2022-02-18,MAINE COON,orange,Short,pointed,green,overdue,YES,PRIME,both,STRING, friendly ,MIXED,SILICA,friend,None,15210,14876,"15,755"," 7,441",12170,434,£7772,11199,missing,17918
"Oct 05, 2023",sphynx,brown,long,solid,gold,not required,No,Senior,indoor,CATNIP MOUSE,shy,RAW,silica,breeder,arthritis,£10041,10199,£15178,559,6531,£19957,"17,993",18425,£13788,12554
15/02/2022,bengal,grey,short, tabby ,copper,overdue,yes,PRIME,INDOOR,missing,aggressive,Wet,NaN,online,none,3029,10797,1274,3300,6099,£4978,13544,2937,"15,688",£623
20/10/2022,sphynx,white,short,bi-Colour,ODD-EYED,NA,no,kitten,both,String,playful,dry,silica, online ,allergy,NA,15787,1737,11401,13565,£1104," 5,714","14,280",,8140
31/10/2021,Ragdoll,calico,long,pointed,odd-eyed,UNKNOWN,Yes,Prime,indoor,feather wand,missing,WET,Recycled Paper,ONLINE,ARTHRITIS,missing,"17,964",3988,15896,£8959,5927,£15402,18371,"13,670",£15501
17/01/2021,BENGAL, grey ,Long, SOLID ,blue,overdue,,Prime,Both,String,lazy,wet,non-Clumping,Online,ARTHRITIS,8281,645,14760,10269,18468,"17,905",6938,7278,6968,£11726
2023-12-17,bengal,missing,long,Bi-Colour, odd-eyed ,UP-TO-DATE,NO,NaN,outdoor,ball,playful,wet,Non-Clumping,BREEDER,NA,19901,missing,£10935,£6256,14489,NA,,11513,7477,16421
2022-12-06,siamese, Calico ,SHORT,spotted,copper,overdue,-999,geriatric,outdoor,LASER POINTER,aggressive,raw,Non-Clumping,STRAY,obesity,5390,£1863,£3164,   604,£384,17267,"10,872",NA,£8580,9939
19/06/2024,Tabby,ORANGE,hairless,POINTED,gold,unknown,no,senior,both,NaN,lazy,raw,Recycled Paper,shelter,dental,£116,9914,£7179," 3,125",8364,£5323,1964,,-999,-999
20/02/2023,Bengal,Calico,Long,NaN,BLUE,UP-TO-DATE,no,geriatric,indoor,String,LAZY, wet ,recycled paper,FRIEND,NA,10379,NaN,£6314,16731,NaN," 7,611",,6790,10813,5448
07/01/2023,Bengal,black,MEDIUM,SOLID,GOLD,overdue,YES,MATURE,both,FEATHER WAND,lazy,DRY,silica,shelter, arthritis ,£10772,7608,missing,12027,19858,1157,1315,NA," 6,479",13840
2021-04-30,persian,cream,missing,BI-COLOUR,GREEN,NOT REQUIRED,No,junior, Outdoor ,ball,playful,RAW,missing,stray,dental,£1155,£9241,7450,5117,11713,£18308,8504,13991," 5,243",   417
19/01/2022,Maine Coon,tortoiseshell,short,BI-COLOUR,blue,NaN,YES,mature,Both,-999,Friendly,mixed,clumping,friend,allergy,-999,NaN,£1219,847,9774,19683,19965," 5,280",12129,8052
2024-01-27,Siamese,brown,medium,missing,green,UNKNOWN,NO,kitten,missing,ball,Playful,raw,clumping,Breeder,obesity,18343,13030,"11,143",£14054,£5365," 9,969",11060,16082,"18,192",2441
13/03/2022,persian,orange,long,pointed,odd-eyed,overdue,NO,mature,Both,Feather Wand,NA,mixed,non-Clumping,Breeder,Allergy,14999,-999,5829,£11359," 9,497","18,374",13190,1709,6422,£8451
17/11/2022,SIAMESE,tortoiseshell,medium,pointed,gold, unknown ,no,Kitten,BOTH,LASER POINTER,playful,mixed,silica,SHELTER, dental ,19529,8920,5375,18429,135,£552,£11608,£4125,1776,10139
28/07/2022,bengal,white,long,spotted,NaN,NOT REQUIRED,missing,prime,indoor,feather wand,NA,wet, CLUMPING ,shelter,,7262,15898,236,6339,,£14697,NaN,£7002,6368,5177
2024-08-01,BRITISH SHORTHAIR,Brown,hairless,Bi-Colour,GREEN,OVERDUE,no,senior,BOTH,string,friendly,NA,CLUMPING,breeder,ARTHRITIS,   970," 1,383",16645,15284,NaN,NA,-999,£10205,-999,£17887
20/08/2022, Sphynx ,grey,short, SPOTTED ,gold,notRequired,,KITTEN, both , laserPointer ,Shy,mixed,Non-Clumping,-999,none,15476," 6,802",18949," 2,457",11261,5805,14023,16048,12565,18129
-999,sphynx,ORANGE,medium,Solid,gold,up-to-date, no ,MATURE,outdoor,featherWand,lazy,Dry,clumping,breeder,obesity,£10817,18109,1193,8869,751,£7563,"19,355",1734,703,214
27/06/2024,ragdoll,WHITE,LONG,pointed,odd-eyed,not required,yes,Geriatric,Indoor,CATNIP MOUSE,friendly,WET,non-clumping,online,none,7995,"17,410","19,975",17382,17306,14517,£13124,14651,9433,13573
10/03/2022,persian,White,SHORT,tabby,,Unknown,yes,prime,outdoor, feather_wand ,LAZY,RAW,clumping,friend,NA,NA,   841,6846,7626,NA,6472,2245,6898,17527,6106
2022-09-25,sphynx,NA,LONG,NA,Copper,up-to-date,yes,prime,INDOOR,BALL, AGGRESSIVE ,dry,clumping,SHELTER,allergy,NA,2706,2796,,13051,£2255,2489,1322,16877,3782
24/06/2022,siamese,calico,Long,Pointed,Odd-Eyed,up-To-Date,,mature,outdoor,STRING,Playful,wet,RECYCLED PAPER,shelter,dental,£6724,5054,"17,694",1484,15804,2789,14204,-999,£3505,10189
